,day,notLoginDays,dayVitality,intervalMean,isLoss
56916,1.0,0,0.0,18.0,0
56917,6.0,0,6.0,0.0,0
56918,6.0,0,6.0,0.0625,0
56919,3.0,0,2.0,0.6,0
56920,6.0,0,5.0,0.0,0
56921,3.0,0,0.0,1.2857142857142858,0
56922,6.0,0,6.0,0.0,0
56923,5.0,0,4.0,0.0625,0
56924,1.0,0,0.0,18.0,0
56925,6.0,0,6.0,0.0,0
56926,6.0,0,6.0,0.0,0
56927,6.0,0,6.0,0.0625,0
56928,6.0,0,5.0,0.06666666666666668,0
56929,6.0,0,5.0,0.21428571428571427,0
56930,4.0,0,3.0,0.6,0
56931,3.0,0,0.0,1.8333333333333333,0
56932,6.0,0,6.0,0.0,0
56933,4.0,0,0.0,0.6,0
56934,3.0,0,0.0,0.5454545454545454,0
56935,6.0,0,6.0,0.0,0
56936,4.0,0,4.0,0.6,0
56937,4.0,0,5.0,0.3076923076923077,0
56938,3.0,3,0.0,3.6666666666666665,1
56939,2.0,3,2.0,1.1666666666666667,0
56940,1.0,3,0.0,3.0,1
56941,1.0,3,0.0,18.0,1
56942,3.0,3,2.0,0.625,0
56943,3.0,3,3.0,0.0,1
56944,1.0,3,0.0,18.0,1
56945,1.0,5,0.0,18.0,1
56946,1.0,5,1.0,5.0,0
56947,1.0,5,0.0,1.6666666666666667,1
56948,1.0,5,1.0,4.5,0
56949,1.0,5,1.0,9.0,0
56950,1.0,5,1.0,1.4,1
56951,1.0,5,0.0,18.0,1
56952,1.0,5,0.0,6.0,0
56953,1.0,5,0.0,2.0,0
56954,1.0,5,0.0,8.0,1
56955,1.0,4,1.0,5.0,0
56956,1.0,4,0.0,18.0,1
56957,1.0,4,0.0,4.5,1
56958,1.0,4,0.0,18.0,1
56959,2.0,4,0.0,5.0,1
56960,1.0,4,0.0,5.5,0
56961,1.0,4,0.0,0.1,0
56962,2.0,4,0.0,0.0,1
56963,2.0,4,2.0,0.08333333333333333,1
56964,6.0,0,6.0,0.0,0
56965,2.0,0,3.0,4.0,1
56966,6.0,0,6.0,0.0,0
56967,3.0,0,0.0,1.5,0
56968,6.0,0,6.0,0.0,0
56969,6.0,0,6.0,0.0,0
56970,6.0,0,5.0,0.0,0
56971,1.0,0,1.0,0.7,0
56972,6.0,0,6.0,0.0,0
56973,3.0,0,0.0,1.5,0
56974,6.0,0,0.0,0.0625,0
56975,6.0,0,6.0,0.0625,0
56976,4.0,0,0.0,0.6,0
56977,6.0,0,6.0,0.0625,0
56978,6.0,0,3.0,0.0625,0
56979,6.0,0,6.0,0.0,0
56980,6.0,0,6.0,0.0,0
56981,6.0,0,6.0,0.0,0
56982,6.0,0,6.0,0.0,1
56983,6.0,0,6.0,0.0,0
56984,6.0,0,6.0,0.0,0
56985,6.0,0,6.0,0.0,0
56986,6.0,0,6.0,0.0,0
56987,6.0,0,6.0,0.0,0
56988,6.0,0,6.0,0.0,0
56989,6.0,0,6.0,0.0,0
56990,4.0,0,5.0,0.3076923076923077,1
56991,6.0,0,6.0,0.0,0
56992,6.0,0,6.0,0.0,0
56993,6.0,0,4.0,0.0625,0
56994,2.0,1,0.0,0.3333333333333333,0
56995,1.0,1,1.0,3.0,1
56996,5.0,1,0.0,0.2307692307692308,0
56997,3.0,1,0.0,0.4545454545454545,0
56998,1.0,1,0.0,14.0,1
56999,4.0,1,4.0,0.875,0
57000,5.0,1,0.0,0.0,1
57001,1.0,1,1.0,4.0,0
